Label	Genus	Remark	Species	Sample	Info
Siph_purdieanus_A368_Lago820	S.	n.a.	purdieanus	A368	Lago820
Siph_lasiandrus_A370_Lago853	S.	n.a.	lasiandrus	A370	Lago853
Bur_sp_A374_Lago930	B.	n.a.	breviflora	A374	Lago930
Bur_sp_A376_Lago936	B.	n.a.	sp.	A376	Lago936
Centro_sp_A377_Lago939	C.	n.a.	leucophyllus	A377	Lago939
Centro_cornutus_A378_Lago961	C.	n.a.	cornutus	A378	Lago961
Centro_granulosus_A380_Lago942	C.	n.a.	granulosus	A380	Lago942
Lysipomia_laciniata_A401_Lago780	L.	n.a.	laciniata	A401	Lago780
Centro_solanifolius_A403_Lago941	C.	n.a.	solanifolius	A403	Lago941
Centro_yarumalensis_A404_Lago944	C.	n.a.	yarumalensis	A404	Lago944
Bur_sp_A405_Lago980	B.	n.a.	succulenta	A405	Lago980
Siph_sp_A406_Lago649	S.	n.a.	longibracteolatus	A406	Lago649
Centro_sp_A407_Lago867	C.	n.a.	erianthus	A407	Lago867
Centro_sp_A413_Lago974	C.	n.a.	congestus	A413	Lago974
Siph_sp_A414_Lago856	S.	n.a.	retrorsus	A414	Lago856
Siph_sp_A415_Lago882	S.	n.a.	retrorsus	A415	Lago882
Centro_sp_A425_Lago710	C.	aff.	ellipticus	A425	Lago710
Centro_sp_A426_Lago940	C.	n.a.	minimus	A426	Lago940
Centro_sp_A428_Lago874	C.	n.a.	ferrugineus	A428	Lago874
Bur_sp_A431_Lago943	B.	n.a.	sp.	A431	Lago943
Centro_sp_A435_Lago746	C.	aff.	ellipticus	A435	Lago746
Centro_palmanus_A50_Lago193	C.	n.a.	palmanus	A50	Lago193
Bur_sp_AMB375_Lago991	B.	n.a.	sp.	AMB375	Lago991
Siph_corynellus_ARC6_Weigand5815	S.	n.a.	corynellus	ARC6	Weigand5815
Siph_ecuadoriensis_ARC7_Clark1906	S.	n.a.	ecuadoriensis	ARC7	Clark1906
Centro_palmanus_LL193	C.	n.a.	palmanus	LL193	n.a.
Bur_vulgaris_LL32_Lago163	B.	n.a.	vulgaris	LL32	Lago163
Centro_congestus_LL34_Lago95	C.	n.a.	congestus	LL34	Lago95
